customer_id,order_number,delivery_date,delivery_week,final_payment_status,time_to_pay,payment_method,custom_meal_selection,state,channel,engagement_score,num_prior_orders_failed,num_prior_orders_unpaid,avg_recipe_rating
1133,11786,20200203,2020-W06,Paid,2,W,No,B,D,155,21,0,4.00
1138,9765,20200201,2020-W06,Paid,5,Z,Yes,F,O,21,7,0,4.00
1145,4953,20200203,2020-W06,Paid,2,W,Yes,D,S,1,0,0,
1150,11537,20200203,2020-W06,Paid,5,Z,No,B,E,144,52,0,
1158,16550,20200202,2020-W06,Paid,5,W,Yes,D,O,73,22,0,3.60
1164,9071,20200202,2020-W06,Paid,2,Z,Yes,D,O,59,0,0,
1173,13894,20200201,2020-W06,Paid,51,Z,No,B,D,0,0,0,
1178,4791,20200203,2020-W06,Paid,2,Z,Yes,B,D,5,1,0,4.00
1180,5196,20200203,2020-W06,Paid,25,W,No,F,D,4,0,0,
1182,5693,20200201,2020-W06,Paid,1,W,Yes,D,F2,8,1,0,
1185,6987,20200202,2020-W06,Paid,52,X,Yes,F,F2,24,15,0,
1186,3849,20200202,2020-W06,Unpaid,,W,Yes,F,H,38,2,1,
1190,7639,20200201,2020-W06,Paid,15,Z,Yes,D,D,10,4,0,
1196,11985,20200203,2020-W06,Paid,5,Z,Yes,E,O,165,32,0,1.80
1197,8391,20200201,2020-W06,Cancelled,,Y,Unknown,F,D,39,1,0,
1203,15923,20200203,2020-W06,Paid,4,Z,Yes,B,F2,56,5,0,
1208,7582,20200203,2020-W06,Paid,5,Z,No,B,D,165,1,0,
1211,15372,20200202,2020-W06,Paid,15,W,Yes,B,F2,5,1,0,2.00
1213,11925,20200202,2020-W06,Paid,187,Z,Yes,E,O,18,6,0,
1218,23108,20200201,2020-W06,Paid,5,Z,Yes,D,F3,7,6,0,1.00
1222,12312,20200202,2020-W06,Other,,Y,Unknown,E,D,9,0,0,3.67
1237,17760,20200201,2020-W06,Paid,1,Z,Yes,B,O,5,0,0,
1242,22339,20200201,2020-W06,Paid,4,Z,No,D,H,30,12,0,
1246,22652,20200203,2020-W06,Paid,4,W,No,D,H,75,1,0,
1247,10052,20200203,2020-W06,Paid,64,W,No,B,O,68,6,1,
1253,19655,20200203,2020-W06,Paid,5,X,Yes,E,F1,4,0,0,2.50
1259,2113,20200203,2020-W06,Paid,5,Z,Yes,D,F1,104,4,0,
1265,16646,20200203,2020-W06,Paid,15,Z,Yes,E,F2,110,46,1,
1271,23272,20200203,2020-W06,Paid,16,X,Yes,F,A2,1,1,0,3.67
1274,18639,20200202,2020-W06,Unpaid,,W,Yes,E,F2,27,7,3,4.00
1278,274,20200203,2020-W06,Paid,8,W,No,F,F2,1,0,0,2.33
1280,4704,20200203,2020-W06,Paid,26,Z,Yes,F,F2,28,0,0,
1284,22738,20200201,2020-W06,Paid,27,Z,Yes,F,F1,2,1,1,
1285,8352,20200201,2020-W06,Paid,5,Z,Yes,E,O,17,3,0,
1289,14363,20200202,2020-W06,Paid,5,Z,Yes,F,E,34,4,1,2.50
